entrada, saida, h00, h01, h02, h10, h11, h12, h20, h21, h22
capa_white_g.png, capa_white_g_res.png, 1.03905, -0.0645639, -36.3332, 0.0164335, 1.01384, -57.9483, 0.000121812, -0.000138535, 1.0
capa_white_m.png, capa_white_m_res.png, 0.910032, 0.0313717, -84.7385, -0.0977786, 0.999036, -38.4477, -0.000401235, -3.92019e-05, 1.0
capa_white_p.png, capa_white_p_res.png, 0.850412, -0.151689, -92.1397, -0.0968694, 0.773696, -74.4979, -0.000770702, -0.00113013, 1.0
capa_wood3_g.png, capa_wood3_g_res.png, 0.981647, 0.053586, -58.0613, 0.0160883, 0.96968, -29.517, -4.56042e-05, 6.87663e-05, 1.0
capa_wood3_m.png, capa_wood3_m_res.png, 1.03702, 0.118953, -105.888, -0.0266199, 1.16087, -52.716, -0.000225789, 0.00026819, 1.0
capa_wood3_p.png, capa_wood3_p_res.png, 2.98582, 0.0633076, -522.298, 0.0508862, 2.21787, -301.502, 0.00121532, -0.000500001, 1.0
capa_stones_g.png, capa_stones_g_res.png, 1.02262, 0.0361449, -61.9696, -0.00498833, 0.997205, -29.1114, 3.45492e-05, -1.63486e-05, 1.0
capa_stones_m.png, capa_stones_m_res.png, 1.3239, -0.0238963, -129.021, -0.0326728, 1.27344, -85.5046, 0.000140587, 0.000113806, 1.0
capa_stones_p.png, capa_stones_p_res.png, 1.90368, -0.673699, -132.223, 0.17619, 1.26109, -211.998, 0.000710758, -0.0017956, 1.0
dylan_white_g.png, dylan_white_g_res.png, 1.07009, 0.087497, -71.1643, 0.0219856, 1.12777, -68.5944, -1.00378e-05, 0.000176267, 1.0
dylan_white_m.png, dylan_white_m_res.png, 0.942409, -0.0327601, -61.0002, -0.0440278, 1.14878, -86.18, -0.000302183, 4.88796e-05, 1.0
dylan_white_p.png, dylan_white_p_res.png, 1.46942, -0.151245, -170.205, 0.0199539, 1.43627, -226.598, -0.000108253, -0.001038, 1.0
dylan_wood3_g.png, dylan_wood3_g_res.png, 1.03428, -0.0430815, -26.8637, 0.0168499, 1.06001, -64.6893, 0.000146748, -9.98831e-05, 1.0
dylan_wood3_m.png, dylan_wood3_m_res.png, 1.00993, -0.039901, -71.2306, -0.0461521, 1.03576, -47.9293, -0.000102263, -0.000158165, 1.0
dylan_wood3_p.png, dylan_wood3_p_res.png, 1.79395, -0.145242, -222.581, -0.0573074, 1.28529, -116.766, 0.000141216, -0.000638897, 1.0
dylan_stones_g.png, dylan_stones_g_res.png, 0.930647, 0.0492897, -47.6516, 0.0123362, 0.976855, -32.3504, -9.16647e-05, 5.61306e-05, 1.0
dylan_stones_m.png, dylan_stones_m_res.png, 1.22958, 0.0113293, -76.7238, 0.0803854, 1.19561, -96.6808, 0.000172117, -9.64727e-05, 1.0
dylan_stones_p.png, dylan_stones_p_res.png, 7.7065, 1.61156, -1545.72, 0.753836, 6.73465, -1198.28, 0.00592575, 0.00106118, 1.0
rg_white_g.png, rg_white_g_res.png, 1.13751, 0.0291779, -64.7275, 0.0353867, 1.09026, -56.0421, 0.000136036, 0.000155718, 1.0
rg_white_m.png, rg_white_m_res.png, 0.989957, -0.104243, -56.7289, -0.0227569, 0.963015, -63.5033, -0.000154914, -0.000251619, 1.0
rg_white_p.png, rg_white_p_res.png, 1.68446, -0.288049, -188.457, 0.0300124, 1.26794, -144.391, -4.11427e-05, -0.000568608, 1.0
rg_wood3_g.png, rg_wood3_g_res.png, 1.07246, 0.0137729, -57.0212, 0.00448892, 1.08101, -50.5787, 3.51418e-05, 0.00016006, 1.0
rg_wood3_m.png, rg_wood3_m_res.png, 1.06584, -0.0211935, -68.7769, -0.0406809, 1.06863, -52.4089, -8.23215e-05, -0.000103925, 1.0
rg_wood3_p.png, rg_wood3_p_res.png, 1.48771, 0.0801378, -252.778, -0.0701741, 1.68094, -206.969, -0.000556524, 8.76613e-05, 1.0
rg_stones_g.png, rg_stones_g_res.png, 1.11885, 0.0115963, -65.0509, 0.0387763, 1.06742, -57.297, 0.00010357, 8.95236e-05, 1.0
rg_stones_m.png, rg_stones_m_res.png, 1.22913, 0.115538, -122.594, 0.07511, 1.36832, -137.894, -1.6775e-05, 0.00023397, 1.0
rg_stones_p.png, rg_stones_p_res.png, 2.8572, -0.398849, -253.443, 0.353581, 2.16272, -369.994, 0.00201521, -0.00109478, 1.0
